0.13890409469604492,0,0
0.23659014701843262,0,0
0.3443331718444824,0,0
0.4420430660247803,0,0
0.5426990985870361,0,0
0.6466410160064697,0,0
0.7457709312438965,0,0
0.8474340438842773,0,0
0.9470160007476807,0,0
1.0448341369628906,0,0
1.144176959991455,0,0
1.2436420917510986,0,0
1.344594955444336,0,0
1.4433631896972656,0,0
1.5404260158538818,0,0
1.6380400657653809,0,0
1.7456929683685303,50,-50
1.8484821319580078,50,-50
1.9443159103393555,50,-50
2.0390570163726807,50,-50
2.1399219036102295,50,-50
2.243680000305176,50,-50
2.3454320430755615,50,-50
2.447154998779297,50,-50
2.539216995239258,50,-50
2.6406478881835938,50,-50
2.744533061981201,50,-50
2.843045949935913,50,-50
2.9539949893951416,50,-50
3.043703079223633,50,-50
3.143418073654175,50,-50
3.236720085144043,50,-50
3.3420369625091553,50,-50
3.4392549991607666,50,-50
3.54577898979187,50,-50
3.642544984817505,50,-50
3.744089126586914,50,-50
3.8450429439544678,50,-50
3.942150831222534,50,-50
4.045476198196411,50,-50
4.180687189102173,50,-50
4.277084827423096,50,-50
4.377411127090454,50,-50
4.473365068435669,50,-50
4.576961994171143,50,-50
4.67216682434082,50,-50
4.773560047149658,50,-50
4.876216173171997,50,-50
4.986888885498047,50,-50
5.105607986450195,0,0
5.21340799331665,0,0
5.307973861694336,0,0
5.414287090301514,20,20
5.510361194610596,20,20
5.609305143356323,20,20
5.703696250915527,20,20
5.909818172454834,20,20
6.016326904296875,20,20
6.107819080352783,20,20
6.2084009647369385,20,20
6.310167074203491,20,20
6.410672903060913,20,20
6.51325798034668,20,20
6.6043860912323,20,20
6.711474895477295,20,20
6.811109781265259,20,20
6.912843942642212,20,20
7.008466005325317,0,0
7.109076023101807,0,0
7.210193872451782,0,0
7.307915925979614,0,0
7.412147045135498,0,0
7.511507034301758,0,0
7.611846923828125,0,0
7.714022874832153,0,0
7.809279918670654,0,0
7.912567138671875,0,0
8.008002042770386,20,20
8.105844974517822,20,20
8.213115930557251,20,20
8.308689832687378,20,20
8.404288053512573,20,20
8.50742506980896,20,20
8.60677981376648,20,20
8.710474014282227,20,20
8.806619882583618,20,20
8.907701015472412,20,20
9.01352596282959,20,20
9.105416059494019,20,20
9.21337103843689,20,20
9.308642148971558,20,20
9.415262937545776,20,20
9.541782140731812,0,0
9.632960081100464,0,0
9.734238862991333,0,0
9.839493036270142,0,0
9.942888021469116,0,0
10.044092893600464,0,0
10.137759923934937,0,0
10.243823051452637,0,0
10.34232497215271,0,0
10.43900203704834,0,0
10.540085077285767,0,0
10.635107040405273,0,0
10.73987889289856,0,0
10.83932113647461,0,0
10.939631223678589,0,0
11.039491176605225,0,0
11.13710904121399,20,20
11.237183094024658,20,20
11.348966836929321,20,20
11.478159189224243,20,20
11.57370114326477,20,20
11.675698041915894,20,20
11.77720022201538,20,20
11.87836217880249,20,20
11.976827144622803,20,20
12.076189041137695,20,20
12.18196702003479,20,20
12.273329973220825,20,20
12.379755020141602,20,20
12.47402286529541,20,20
12.57201099395752,20,20
12.6718111038208,20,20
12.78043007850647,20,20
12.875083923339844,0,0
12.981322050094604,0,0
13.078699111938477,0,0
13.174905061721802,0,0
13.276896953582764,0,0
13.374075174331665,0,0
